CD_SETOR,CD_AGSN,NM_AGSN,CD_MUNICIP,NM_MUNICIP,CD_UF,SG_UF
355030803000114,35503081116,JARDIM JARAGUÁ I,3550308,SÃO PAULO,35,SP
355030803000115,35503081117,MORRO DOCE II,3550308,SÃO PAULO,35,SP
355030803000116,35503081118,FAIÇAL MURAD,3550308,SÃO PAULO,35,SP
355030803000117,35503081119,MORRO DOCE I,3550308,SÃO PAULO,35,SP
355030803000118,35503081122,MORRO DOCE III,3550308,SÃO PAULO,35,SP
355030803000119,35503081120,VILA SULINA,3550308,SÃO PAULO,35,SP
355030803000120,35503081115,JARDIM JARAGUÁ I,3550308,SÃO PAULO,35,SP
355030804000006,35503080029,VILA CÉSAR I,3550308,SÃO PAULO,35,SP
355030804000009,35503080029,VILA CÉSAR I,3550308,SÃO PAULO,35,SP
355030805000098,35503080567,COHAB,3550308,SÃO PAULO,35,SP
355030805000101,35503080738,SÃO JOSÉ (VILA MATILDE),3550308,SÃO PAULO,35,SP
355030805000104,35503080067,ESPERANTINÓPOLIS,3550308,SÃO PAULO,35,SP
355030805000105,35503080067,ESPERANTINÓPOLIS,3550308,SÃO PAULO,35,SP
355030805000106,35503080067,ESPERANTINÓPOLIS,3550308,SÃO PAULO,35,SP
355030805000112,35503080037,ITAQUERA C/ COHAB,3550308,SÃO PAULO,35,SP
355030806000008,35503080080,ÁGUA BRANCA,3550308,SÃO PAULO,35,SP
355030808000009,35503080726,NELSON CRUZ,3550308,SÃO PAULO,35,SP
355030808000065,35503080726,NELSON CRUZ,3550308,SÃO PAULO,35,SP
355030809000044,35503080845,DO MOINHO,3550308,SÃO PAULO,35,SP
355030809000045,35503080845,DO MOINHO,3550308,SÃO PAULO,35,SP
355030811000003,35503080125,OURO VELHO,3550308,SÃO PAULO,35,SP
355030811000013,35503080207,PARQUE BELÉM,3550308,SÃO PAULO,35,SP
355030811000015,35503080207,PARQUE BELÉM,3550308,SÃO PAULO,35,SP
355030811000020,35503080005,BARREIRO,3550308,SÃO PAULO,35,SP
355030811000022,35503080100,REAL GRANDEZA,3550308,SÃO PAULO,35,SP
355030811000026,35503080688,ITAMBÉ DO MATO DENTRO,3550308,SÃO PAULO,35,SP
355030811000035,35503080042,MIRANGABA,3550308,SÃO PAULO,35,SP
355030811000048,35503080073,VIRAJUBA,3550308,SÃO PAULO,35,SP
355030811000055,35503080253,CARLOS MATTIS,3550308,SÃO PAULO,35,SP
355030811000066,35503080169,JARDIM NOVA ESPERANÇA,3550308,SÃO PAULO,35,SP
355030811000068,35503080148,PÓ,3550308,SÃO PAULO,35,SP
355030811000079,35503080266,JARDIM ICARAÍ,3550308,SÃO PAULO,35,SP
355030811000084,35503081310,JARDIM GUARANI,3550308,SÃO PAULO,35,SP
355030811000085,35503080689,VILA TERESINHA II,3550308,SÃO PAULO,35,SP
355030811000087,35503080707,VILA TERESINHA I,3550308,SÃO PAULO,35,SP
355030811000089,35503080690,CANTÍDIO SAMPAIO,3550308,SÃO PAULO,35,SP
355030811000090,35503080973,ELISA MARIA,3550308,SÃO PAULO,35,SP
355030811000094,35503080143,MANOEL AQUILINO DOS SANTOS II,3550308,SÃO PAULO,35,SP
355030811000095,35503080302,AGENOR A. MEIRA,3550308,SÃO PAULO,35,SP
355030811000101,35503080312,JÚLIO PINHEIRO,3550308,SÃO PAULO,35,SP
355030811000118,35503080691,JARDIM ALMANARA,3550308,SÃO PAULO,35,SP
355030811000133,35503080278,AMADEO MENOCHI,3550308,SÃO PAULO,35,SP
355030811000140,35503080988,ROMULO NALDI,3550308,SÃO PAULO,35,SP
355030811000147,35503080693,ARISTEU VALENTE,3550308,SÃO PAULO,35,SP
355030811000149,35503080321,PENHA BRASIL,3550308,SÃO PAULO,35,SP
355030811000173,35503080339,FIRMINÓPOLIS,3550308,SÃO PAULO,35,SP
355030811000175,35503080392,VISTA ALEGRE,3550308,SÃO PAULO,35,SP
355030811000179,35503080347,ARACANGUIRA,3550308,SÃO PAULO,35,SP
355030811000185,35503080386,TABOADO,3550308,SÃO PAULO,35,SP
355030811000186,35503080692,CORUMBÉ,3550308,SÃO PAULO,35,SP
355030811000188,35503080380,LEÔNIDAS MARMELO,3550308,SÃO PAULO,35,SP
355030811000199,35503080015,JARDIM BRASÍLIA,3550308,SÃO PAULO,35,SP
355030811000209,35503081312,ALBACORA,3550308,SÃO PAULO,35,SP
355030811000211,35503080973,ELISA MARIA,3550308,SÃO PAULO,35,SP
355030811000223,35503080688,ITAMBÉ DO MATO DENTRO,3550308,SÃO PAULO,35,SP
355030811000224,35503080266,JARDIM ICARAÍ,3550308,SÃO PAULO,35,SP
355030811000225,35503080392,VISTA ALEGRE,3550308,SÃO PAULO,35,SP
355030811000226,35503080392,VISTA ALEGRE,3550308,SÃO PAULO,35,SP
355030811000227,35503080386,TABOADO,3550308,SÃO PAULO,35,SP
355030811000228,35503080386,TABOADO,3550308,SÃO PAULO,35,SP
355030811000242,35503080973,ELISA MARIA,3550308,SÃO PAULO,35,SP
355030811000250,35503081315,CAROMBÉ DO ALTO,3550308,SÃO PAULO,35,SP
355030811000292,35503080143,MANOEL AQUILINO DOS SANTOS II,3550308,SÃO PAULO,35,SP
355030811000299,35503080988,ROMULO NALDI,3550308,SÃO PAULO,35,SP
355030811000309,35503080692,CORUMBÉ,3550308,SÃO PAULO,35,SP
355030811000317,35503080015,JARDIM BRASÍLIA,3550308,SÃO PAULO,35,SP
355030811000334,35503081316,JARDIM PARANÁ,3550308,SÃO PAULO,35,SP
355030811000335,35503081316,JARDIM PARANÁ,3550308,SÃO PAULO,35,SP
355030811000338,35503080392,VISTA ALEGRE,3550308,SÃO PAULO,35,SP
355030811000339,35503081317,BANANAL DIREITO,3550308,SÃO PAULO,35,SP
355030811000356,35503080969,MANOEL AQUILINO DOS SANTOS I,3550308,SÃO PAULO,35,SP
355030811000358,35503080971,MIGUEL ARCANJO,3550308,SÃO PAULO,35,SP
355030811000359,35503080972,TIRO AO POMBO,3550308,SÃO PAULO,35,SP
355030811000360,35503080073,VIRAJUBA,3550308,SÃO PAULO,35,SP
355030811000361,35503080312,JÚLIO PINHEIRO,3550308,SÃO PAULO,35,SP
355030811000362,35503080169,JARDIM NOVA ESPERANÇA,3550308,SÃO PAULO,35,SP
355030811000363,35503080148,PÓ,3550308,SÃO PAULO,35,SP
355030811000364,35503080266,JARDIM ICARAÍ,3550308,SÃO PAULO,35,SP
355030811000365,35503080973,ELISA MARIA,3550308,SÃO PAULO,35,SP
355030811000367,35503080975,ALBACORÁ,3550308,SÃO PAULO,35,SP
355030811000368,35503080974,TEREZA,3550308,SÃO PAULO,35,SP
355030811000369,35503080989,CARLOS FELBER,3550308,SÃO PAULO,35,SP
355030811000370,35503080989,CARLOS FELBER,3550308,SÃO PAULO,35,SP
355030811000371,35503080683,IBOTI,3550308,SÃO PAULO,35,SP
355030811000372,35503080976,INFERNINHO,3550308,SÃO PAULO,35,SP
355030811000373,35503080977,JARDIM CARUMBÉ,3550308,SÃO PAULO,35,SP
355030811000374,35503080392,VISTA ALEGRE,3550308,SÃO PAULO,35,SP
355030811000375,35503080979,PEDREIRA I,3550308,SÃO PAULO,35,SP
355030811000376,35503080972,TIRO AO POMBO,3550308,SÃO PAULO,35,SP
355030811000377,35503080980,QUADRA A,3550308,SÃO PAULO,35,SP
355030811000378,35503080981,JARDIM PAULISTANO,3550308,SÃO PAULO,35,SP
355030811000379,35503080982,CLARA NUNES,3550308,SÃO PAULO,35,SP
355030811000380,35503080983,VILA SOUZA,3550308,SÃO PAULO,35,SP
355030811000383,35503080977,JARDIM CARUMBÉ,3550308,SÃO PAULO,35,SP
355030811000384,35503080979,PEDREIRA I,3550308,SÃO PAULO,35,SP
355030811000385,35503080981,JARDIM PAULISTANO,3550308,SÃO PAULO,35,SP
355030811000386,35503080985,ALEGRIA,3550308,SÃO PAULO,35,SP
355030811000387,35503080986,SÃO GERALDO JARDEL FILHO,3550308,SÃO PAULO,35,SP
355030811000389,35503080987,GREGÓRIO POMAR,3550308,SÃO PAULO,35,SP
355030813000007,35503080020,ODASSI NAZZALI,3550308,SÃO PAULO,35,SP
355030813000014,35503080197,JARDIM PERI NOVO,3550308,SÃO PAULO,35,SP
355030813000015,35503080135,CACHOEIRA DOS ANTUNES,3550308,SÃO PAULO,35,SP
355030813000016,35503080135,CACHOEIRA DOS ANTUNES,3550308,SÃO PAULO,35,SP
355030813000018,35503080059,SUCUPIRA I,3550308,SÃO PAULO,35,SP
355030813000021,35503080307,CONDESSA AMÁLIA MATARAZZO,3550308,SÃO PAULO,35,SP
355030813000048,35503080215,SÃO GERALDO,3550308,SÃO PAULO,35,SP
355030813000050,35503080272,PAINEIRA,3550308,SÃO PAULO,35,SP
355030813000063,35503080770,CAMPO GUARANI,3550308,SÃO PAULO,35,SP
355030813000083,35503080231,JARDIM PERI ALTO,3550308,SÃO PAULO,35,SP
355030813000084,35503080245,MANOEL NOGUEIRA GAMA,3550308,SÃO PAULO,35,SP
355030813000085,35503080259,SERRANA FLUMINENSE,3550308,SÃO PAULO,35,SP
355030813000088,35503080284,TRÊS FRONTEIRAS,3550308,SÃO PAULO,35,SP
355030813000100,35503080326,LETÍCIA LICI,3550308,SÃO PAULO,35,SP
355030813000103,35503080317,COMUNIDADE DE SÃO JOSÉ,3550308,SÃO PAULO,35,SP
355030813000105,35503080296,FLAMENGO,3550308,SÃO PAULO,35,SP
355030813000153,35503080837,DO SAPO,3550308,SÃO PAULO,35,SP
355030813000156,35503080296,FLAMENGO,3550308,SÃO PAULO,35,SP
355030813000170,35503080767,JARDIM PERI ALTO II,3550308,SÃO PAULO,35,SP
355030813000172,35503080766,JARDIM PERI ALTO I,3550308,SÃO PAULO,35,SP
355030813000174,35503080768,JARDIM PERI ALTO III,3550308,SÃO PAULO,35,SP
355030813000175,35503080767,JARDIM PERI ALTO II,3550308,SÃO PAULO,35,SP
355030813000176,35503080231,JARDIM PERI ALTO,3550308,SÃO PAULO,35,SP
355030813000185,35503080881,TRÊS FRONTEIRAS I,3550308,SÃO PAULO,35,SP
355030813000186,35503080882,LETÍCIA CINI I,3550308,SÃO PAULO,35,SP
355030813000187,35503080883,JARDIM PERI NOVO I,3550308,SÃO PAULO,35,SP
355030813000188,35503080059,SUCUPIRA I,3550308,SÃO PAULO,35,SP
355030813000193,35503080881,TRÊS FRONTEIRAS I,3550308,SÃO PAULO,35,SP
355030813000210,35503080930,SEM DENOMINAÇÃO 03,3550308,SÃO PAULO,35,SP
355030813000211,35503080931,SEM DENOMINAÇÃO 04,3550308,SÃO PAULO,35,SP
355030813000218,35503080020,ODASSI NAZZALI,3550308,SÃO PAULO,35,SP
355030813000219,35503081169,COIMBRA,3550308,SÃO PAULO,35,SP
355030813000220,35503081318,CABUÇÚ,3550308,SÃO PAULO,35,SP
355030813000221,35503081170,CABUÇU I,3550308,SÃO PAULO,35,SP
355030813000224,35503080259,SERRANA FLUMINENSE,3550308,SÃO PAULO,35,SP
355030813000225,35503080326,LETÍCIA LICI,3550308,SÃO PAULO,35,SP
355030813000226,35503081170,CABUÇU I,3550308,SÃO PAULO,35,SP
355030813000227,35503080197,JARDIM PERI NOVO,3550308,SÃO PAULO,35,SP
355030815000003,35503080201,BURACO QUENTE,3550308,SÃO PAULO,35,SP
355030815000004,35503080077,BURACO QUENTE I,3550308,SÃO PAULO,35,SP
355030815000005,35503080010,MORRO DO PIOLHO,3550308,SÃO PAULO,35,SP
355030815000018,35503080324,BURACO FRIO,3550308,SÃO PAULO,35,SP
355030815000031,35503080129,JURANDIR,3550308,SÃO PAULO,35,SP
355030815000032,35503080152,PANTALEÃO,3550308,SÃO PAULO,35,SP
355030815000082,35503080257,SANTA CATARINA II,3550308,SÃO PAULO,35,SP
355030815000141,35503080833,DO ZOIÃO,3550308,SÃO PAULO,35,SP
355030815000146,35503081123,TIBIRIÇÁ,3550308,SÃO PAULO,35,SP
355030816000015,35503080158,CAMPO GRANDE,3550308,SÃO PAULO,35,SP
